question,doc1id,doc1,doc2id,doc2,filename
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7592,"44-46 , per import de $_ECU:793840.13 , el 16/100 de el impost de el valor afegir incloure , formular per el junta_de_compensació de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda_de_dalt ; de conformitat amb el informe emetre per el direcció_d_urbanisme el [??:14/3/2006:??.??:??] , el qual figura a el expedient i es donar per reproduir ; resoldre el al·legació presentar en el tràmit de informació públic de el aprovació inicial , de conformitat amb el informe de el direcció_d_urbanisme , de valoració de el al·legació , que constar a el expedient i , a_efectes_de motivació , es incorporar a aquest acord ; publicar aquest acord en el butlletí_oficial_de_la_província i en un diari de el de més circulació de catalunya ; notificar a el interessar en aquest procediment ; i donar compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7593,"districte_d_horta-guinardó 9 . 1r ) aprovar definitivament , a_l_empara_de el article 113.2.a ) de el decret legislatiu 1/2005 , de [??:26/7/??:??.??:??] , per el qual es aprovar el text refondre de el llei de urbanisme , el projecte de reparcel·lació en el modalitat de compensació bàsic , de el polígon de actuació urbanístic discontinu que comprendre el terreny de el escola_virolai a el carrer de ceuta , segon / n , formular per virolai_em , sa , únic propietari de el terreny incloure a el àmbit . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7594,"2n ) determinar , de conformitat amb el article 121 a ) de el decret legislatiu 1/2005 , que el fermesa de el acte administratiu de aprovació definitiu de el projecte de reparcel·lació comportar de_iure el cessió , en ple domini i lliure de càrrega , a el administració actuar de el terreny de cessió obligatori per a llur afectació a el ús preveure en el planejament urbanístic . 3r ) publicar aquest acord en el butlletí_oficial_de_la_província i en un diari de el de més circulació de el província i notificar individualment a el propietat . 4t ) donar-ne compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7595,"denegar el tramitació de el projecte de regularització de el façana de el finca situar a el carrer de josep_serrano , número 75 , formular per el señor_joaquim_m._borràs_jiménez en_nom_de promociones_calle_san_sebastian , sl , per el motiu que figurar a el informe de el direcció_de_gestió_urbanística de [??:13/1/2006:??.??:??] , que es donar per íntegrament reproduir . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7596,"aprovar definitivament el projecte de urbanització bàsic de el barri trinitat_nova , promoure per bagursa , amb un pressupost , per a coneixement de el administració , de $_ECU:19146916.6 , el impost de el valor afegir incloure ; publicar aquest acord en el butlletí_oficial_de_la_província , en el diari_oficial_de_la_generalitat_de_catalunya i en el gaseta_municipal i donarne compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7597,"aprovar , a_l_empara_de el article 87.6 de el decret legislatiu 1/2005 , de [??:26/7/??:??.??:??] , per el qual es aprovar el text refondre de el llei de urbanisme , el projecte segregar complementari de urbanització de el carrer de aiguablava entre el de tamariu i de sa_tuna amb el nou implantació de servei a el barri de trinitat_nova , promoure per bagursa , amb un pressupost , per a coneixement de el administració , de $_ECU:4070618.43 , el impost de el valor afegir incloure ; publicar aquest acord en el butlletí_oficial_de_la_província , en el diari_oficial_de_la_generalitat_de_catalunya i en el gaseta_municipal i donar compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7598,"13 . 1r ) resoldre el recurs de reposició presentar contra el acord de aprovació definitiu de el projecte de reparcel·lació de el unitat de actuació número 6 de el pla especial de reforma interior de el barri de porta , en el sentit i per el motiu que es exposar en el informe de el direcció_de_gestió_urbanística de [??:21/3/2006:??.??:??] , que constar a el expedient i que , en el seu propi terme , es donar per reproduir . 2n ) notificar aquest acord a tot el propietari i altre interessar en el expedient . 3r ) donar-ne compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7599,"districte_de_sant_martí 14 . 1r ) desestimar íntegrament el al·legació formular , dins el tràmit de informació públic en_nom_de el societat mrc_constructores , sl , contra el aprovació inicial de el procediment de ocupació directe de el superfície de AR_m2:1374.51 amb clau 22 @ - hs dins el àmbit de actuació número 4 de el pla especial de reforma interior de el sector eix_llacuna . 2n ) aprovar definitivament el procediment de ocupació directe de el superfície de AR_m2:1374.51 amb clau 22 @ - hs , finca de aportació de el societat mrc_constructores , sl , dins el àmbit de actuació número 4 de el pla especial de reforma interior de el sector eix_llacuna , ocupació anticipar a càrrec de el cessió obligatori i gratuït a el domini públic . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7600,"reconèixer el dret de el propietari a participar en el repartiment just de el benefici i càrrega dins de el unitat de actuació . 3r ) publicar aquest acord en el butlletí_oficial_de_la_província i en un diari de el de més circulació de catalunya , i notificar individualment a cadascun de el interessar en el expedient . 4t ) donarne compte a el comissió_d_urbanisme , infraestructures i habitatge . ",13-2006_3.txt
Are these sentences redundant?,7591,"aprovar definitivament el projecte de urbanització de el espai públic de el unitat de actuació 4 de el modificació_de_el_pla_general_metropolità a el entorn de el ronda de dalt , entre el parc de el oreneta i el plaça de alfons_comín , a el carrer de teodor_roviralta , núms . ",7601,"15 . 1r ) aprovar definitivament el procediment de ocupació directe de el superfície de AR_m2:729.54 amb clau 22 @ - hs , finca de aportació de el societat parc_d_activitat_empresarial_poblenou , s._a , dins el àmbit de actuació número 4 de el pla especial de reforma interior de el sector eix_llacuna , ocupació anticipar a càrrec de el cessió obligatori i gratuït a el domini públic . ",13-2006_3.txt
